pillar,field,Type,Unit,Source,Standard,Update
E,GHG_Scope1,numeric,tCO₂e,Báo cáo ESG/Thường niên,IFRS S2; GRI 305,năm
E,GHG_Scope2,numeric,tCO₂e,Báo cáo ESG/Thường niên,IFRS S2; GRI 305,năm
E,GHG_Scope3_Total,numeric,tCO₂e,Báo cáo ESG; ước lượng,IFRS S2; GHG Protocol,năm
E,Scope3_Cat1_PurchasedGoods,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat2_CapitalGoods,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat3_FuelEnergyUpstream,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat4_UpstreamTransport,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat5_Waste,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat6_BusinessTravel,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat7_EmployeeCommuting,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat8_LeasedAssetsUp,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat9_DownstreamTransport,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat10_ProcessingSoldProducts,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat11_UseOfSoldProducts,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat12_EndOfLife,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat13_LeasedAssetsDown,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat14_Franchises,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Scope3_Cat15_Investments,numeric,tCO₂e,Báo cáo ESG; ước lượng,GHG Protocol; PCAF (Cat15),năm
E,Financed_Emissions_Total,numeric,tCO₂e,Ước lượng theo PCAF từ dư nợ theo ngành,PCAF Global Standard,năm/quý
E,Financed_Emissions_Energy,numeric,tCO₂e,Dư nợ theo ngành + hệ số phát thải,PCAF; IPCC factors,năm/quý
E,Financed_Emissions_Utilities,numeric,tCO₂e,Dư nợ theo ngành + hệ số phát thải,PCAF; IPCC factors,năm/quý
E,Financed_Emissions_Cement,numeric,tCO₂e,Dư nợ theo ngành + hệ số phát thải,PCAF; IPCC factors,năm/quý
E,Financed_Emissions_Steel,numeric,tCO₂e,Dư nợ theo ngành + hệ số phát thải,PCAF; IPCC factors,năm/quý
E,Financed_Emissions_Chemicals,numeric,tCO₂e,Dư nợ theo ngành + hệ số phát thải,PCAF; IPCC factors,năm/quý
E,Financed_Emissions_RealEstate,numeric,tCO₂e,Dư nợ theo ngành + hệ số phát thải,PCAF; IPCC factors,năm/quý
